		timesteps		t		Temperature		Kin		Pot		TotalE
		1		0.00997765		3.51393		168.669		-2.58648		166.082
		2		0.0199553		3.5139		168.667		-2.58594		166.081
		3		0.029933		3.51387		168.666		-2.5854		166.08
		4		0.0399106		3.51384		168.664		-2.58485		166.079
		5		0.0498883		3.51381		168.663		-2.58431		166.078
		6		0.0598659		3.51377		168.661		-2.58377		166.077
		7		0.0698436		3.51374		168.66		-2.58322		166.076
		8		0.0798212		3.51371		168.658		-2.58268		166.076
		9		0.0897989		3.51368		168.657		-2.58214		166.075
		10		0.0997765		3.51365		168.655		-2.58159		166.074
		11		0.109754		3.51362		168.654		-2.58105		166.073
		12		0.119732		3.51359		168.652		-2.58051		166.072
		13		0.129709		3.51356		168.651		-2.57996		166.071
		14		0.139687		3.51353		168.649		-2.57942		166.07
		15		0.149665		3.5135		168.648		-2.57888		166.069
		16		0.159642		3.51347		168.646		-2.57834		166.068
		17		0.16962		3.51343		168.645		-2.57779		166.067
		18		0.179598		3.5134		168.643		-2.57725		166.066
		19		0.189575		3.51337		168.642		-2.57671		166.065
		20		0.199553		3.51334		168.64		-2.57617		166.064
		21		0.209531		3.51331		168.639		-2.57562		166.063
		22		0.219508		3.51328		168.637		-2.57508		166.062
		23		0.229486		3.51325		168.636		-2.57454		166.061
		24		0.239464		3.51322		168.635		-2.574		166.061
		25		0.249441		3.51319		168.633		-2.57346		166.06
		26		0.259419		3.51316		168.632		-2.57291		166.059
		27		0.269397		3.51313		168.63		-2.57237		166.058
		28		0.279374		3.5131		168.629		-2.57183		166.057
		29		0.289352		3.51307		168.627		-2.57129		166.056
		30		0.29933		3.51304		168.626		-2.57075		166.055
		31		0.309307		3.513		168.624		-2.5702		166.054
		32		0.319285		3.51297		168.623		-2.56966		166.053
		33		0.329263		3.51294		168.621		-2.56912		166.052
		34		0.33924		3.51291		168.62		-2.56858		166.051
		35		0.349218		3.51288		168.618		-2.56804		166.05
		36		0.359196		3.51285		168.617		-2.5675		166.049
		37		0.369173		3.51282		168.615		-2.56696		166.049
		38		0.379151		3.51279		168.614		-2.56641		166.048
		39		0.389128		3.51276		168.613		-2.56587		166.047
		40		0.399106		3.51273		168.611		-2.56533		166.046
		41		0.409084		3.5127		168.61		-2.56479		166.045
		42		0.419061		3.51267		168.608		-2.56425		166.044
		43		0.429039		3.51264		168.607		-2.56371		166.043
		44		0.439017		3.51261		168.605		-2.56317		166.042
		45		0.448994		3.51258		168.604		-2.56263		166.041
		46		0.458972		3.51255		168.602		-2.56209		166.04
		47		0.46895		3.51252		168.601		-2.56155		166.039
		48		0.478927		3.51249		168.599		-2.56101		166.038
		49		0.488905		3.51246		168.598		-2.56047		166.038
		50		0.498883		3.51243		168.597		-2.55993		166.037
