		timesteps		t		Temperature		Kin		Pot		TotalE
		1		0.00997765		0.727332		545.499		-2.58555		542.914
		11		0.109754		0.727304		545.478		-2.58361		542.895
		21		0.209531		0.727277		545.458		-2.58169		542.876
		31		0.309307		0.72725		545.437		-2.57977		542.857
		41		0.409084		0.727223		545.417		-2.57787		542.839
		51		0.50886		0.727196		545.397		-2.57598		542.821
		61		0.608637		0.72717		545.378		-2.57411		542.803
		71		0.708413		0.727144		545.358		-2.57224		542.786
		81		0.80819		0.727119		545.339		-2.57039		542.769
		91		0.907966		0.727094		545.32		-2.56854		542.752
		101		1.00774		0.727069		545.302		-2.56671		542.735
		111		1.10752		0.727045		545.284		-2.5649		542.719
		121		1.2073		0.727021		545.266		-2.56309		542.703
		131		1.30707		0.726997		545.248		-2.5613		542.687
		141		1.40685		0.726974		545.231		-2.55951		542.671
		151		1.50663		0.726951		545.213		-2.55775		542.656
		161		1.6064		0.726929		545.197		-2.55599		542.641
		171		1.70618		0.726907		545.18		-2.55424		542.626
		181		1.80596		0.726885		545.164		-2.55251		542.611
		191		1.90573		0.726864		545.148		-2.55079		542.597
		201		2.00551		0.726843		545.132		-2.54909		542.583
		211		2.10528		0.726822		545.117		-2.54739		542.569
		221		2.20506		0.726802		545.102		-2.54571		542.556
		231		2.30484		0.726782		545.087		-2.54405		542.543
		241		2.40461		0.726763		545.072		-2.54239		542.53
		251		2.50439		0.726744		545.058		-2.54075		542.517
		261		2.60417		0.726725		545.044		-2.53912		542.505
		271		2.70394		0.726707		545.03		-2.53751		542.493
		281		2.80372		0.726689		545.017		-2.5359		542.481
		291		2.9035		0.726671		545.004		-2.53431		542.469
		301		3.00327		0.726654		544.991		-2.53274		542.458
		311		3.10305		0.726638		544.978		-2.53118		542.447
		321		3.20283		0.726621		544.966		-2.52963		542.436
		331		3.3026		0.726605		544.954		-2.52809		542.426
		341		3.40238		0.72659		544.942		-2.52657		542.416
		351		3.50216		0.726575		544.931		-2.52506		542.406
		361		3.60193		0.72656		544.92		-2.52356		542.396
		371		3.70171		0.726546		544.909		-2.52208		542.387
		381		3.80149		0.726532		544.899		-2.52061		542.378
		391		3.90126		0.726518		544.889		-2.51916		542.37
		401		4.00104		0.726505		544.879		-2.51772		542.361
		411		4.10082		0.726492		544.869		-2.51629		542.353
		421		4.20059		0.72648		544.86		-2.51488		542.345
		431		4.30037		0.726468		544.851		-2.51348		542.338
		441		4.40015		0.726457		544.842		-2.5121		542.33
		451		4.49992		0.726445		544.834		-2.51073		542.323
		461		4.5997		0.726435		544.826		-2.50937		542.317
		471		4.69947		0.726424		544.818		-2.50803		542.31
		481		4.79925		0.726415		544.811		-2.5067		542.304
		491		4.89903		0.726405		544.804		-2.50539		542.298
		501		4.9988		0.726396		544.797		-2.50409		542.293
		511		5.09858		0.726387		544.79		-2.5028		542.288
		521		5.19836		0.726379		544.784		-2.50153		542.283
		531		5.29813		0.726371		544.778		-2.50027		542.278
		541		5.39791		0.726364		544.773		-2.49903		542.274
		551		5.49769		0.726357		544.768		-2.4978		542.27
		561		5.59746		0.72635		544.763		-2.49659		542.266
		571		5.69724		0.726344		544.758		-2.49539		542.263
		581		5.79702		0.726338		544.754		-2.49421		542.259
		591		5.89679		0.726333		544.75		-2.49304		542.257
		601		5.99657		0.726328		544.746		-2.49188		542.254
		611		6.09635		0.726323		544.742		-2.49074		542.252
		621		6.19612		0.726319		544.739		-2.48961		542.25
		631		6.2959		0.726316		544.737		-2.4885		542.248
		641		6.39568		0.726312		544.734		-2.48741		542.247
		651		6.49545		0.726309		544.732		-2.48633		542.246
		661		6.59523		0.726307		544.73		-2.48526		542.245
		671		6.69501		0.726305		544.729		-2.48421		542.245
		681		6.79478		0.726303		544.728		-2.48317		542.244
		691		6.89456		0.726302		544.727		-2.48215		542.245
		701		6.99434		0.726302		544.726		-2.48114		542.245
		711		7.09411		0.726301		544.726		-2.48015		542.246
		721		7.19389		0.726301		544.726		-2.47918		542.247
		731		7.29366		0.726302		544.726		-2.47822		542.248
		741		7.39344		0.726303		544.727		-2.47727		542.25
		751		7.49322		0.726304		544.728		-2.47634		542.252
		761		7.59299		0.726306		544.73		-2.47542		542.254
		771		7.69277		0.726309		544.731		-2.47452		542.257
		781		7.79255		0.726311		544.733		-2.47364		542.26
		791		7.89232		0.726314		544.736		-2.47277		542.263
		801		7.9921		0.726318		544.739		-2.47192		542.267
		811		8.09188		0.726322		544.742		-2.47108		542.27
		821		8.19165		0.726327		544.745		-2.47025		542.275
		831		8.29143		0.726331		544.749		-2.46945		542.279
		841		8.39121		0.726337		544.753		-2.46865		542.284
		851		8.49098		0.726343		544.757		-2.46788		542.289
		861		8.59076		0.726349		544.762		-2.46712		542.294
		871		8.69054		0.726355		544.767		-2.46637		542.3
		881		8.79031		0.726362		544.772		-2.46564		542.306
		891		8.89009		0.72637		544.778		-2.46493		542.313
		901		8.98987		0.726378		544.783		-2.46423		542.319
		911		9.08964		0.726386		544.79		-2.46355		542.326
		921		9.18942		0.726395		544.796		-2.46288		542.334
		931		9.2892		0.726405		544.803		-2.46223		542.341
		941		9.38897		0.726414		544.811		-2.46159		542.349
		951		9.48875		0.726424		544.818		-2.46097		542.357
		961		9.58853		0.726435		544.826		-2.46037		542.366
		971		9.6883		0.726446		544.835		-2.45978		542.375
		981		9.78808		0.726458		544.843		-2.45921		542.384
		991		9.88785		0.72647		544.852		-2.45866		542.394
		1001		9.98763		0.726482		544.862		-2.45812		542.404
		1011		10.0874		0.726495		544.871		-2.45759		542.414
		1021		10.1872		0.726508		544.881		-2.45709		542.424
		1031		10.287		0.726522		544.892		-2.45659		542.435
		1041		10.3867		0.726536		544.902		-2.45612		542.446
		1051		10.4865		0.726551		544.913		-2.45566		542.458
		1061		10.5863		0.726566		544.925		-2.45522		542.469
		1071		10.6861		0.726582		544.936		-2.45479		542.482
		1081		10.7858		0.726598		544.948		-2.45438		542.494
		1091		10.8856		0.726614		544.961		-2.45399		542.507
		1101		10.9854		0.726631		544.974		-2.45361		542.52
		1111		11.0852		0.726649		544.987		-2.45325		542.533
		1121		11.1849		0.726667		545		-2.45291		542.547
		1131		11.2847		0.726685		545.014		-2.45258		542.561
		1141		11.3845		0.726704		545.028		-2.45227		542.576
		1151		11.4843		0.726723		545.042		-2.45197		542.59
		1161		11.5841		0.726743		545.057		-2.4517		542.606
		1171		11.6838		0.726763		545.072		-2.45143		542.621
		1181		11.7836		0.726784		545.088		-2.45119		542.637
		1191		11.8834		0.726805		545.104		-2.45096		542.653
		1201		11.9832		0.726827		545.12		-2.45075		542.669
		1211		12.0829		0.726849		545.137		-2.45055		542.686
		1221		12.1827		0.726871		545.153		-2.45038		542.703
		1231		12.2825		0.726894		545.171		-2.45021		542.72
		1241		12.3823		0.726918		545.188		-2.45007		542.738
		1251		12.482		0.726942		545.206		-2.44994		542.756
		1261		12.5818		0.726966		545.225		-2.44983		542.775
		1271		12.6816		0.726991		545.243		-2.44974		542.794
		1281		12.7814		0.727016		545.262		-2.44966		542.813
		1291		12.8812		0.727042		545.282		-2.4496		542.832
		1301		12.9809		0.727069		545.301		-2.44956		542.852
		1311		13.0807		0.727095		545.322		-2.44953		542.872
		1321		13.1805		0.727123		545.342		-2.44953		542.892
		1331		13.2803		0.72715		545.363		-2.44953		542.913
		1341		13.38		0.727179		545.384		-2.44956		542.934
		1351		13.4798		0.727207		545.406		-2.4496		542.956
		1361		13.5796		0.727237		545.427		-2.44966		542.978
		1371		13.6794		0.727266		545.45		-2.44974		543
		1381		13.7791		0.727296		545.472		-2.44984		543.022
