		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		6.63119		4973.4		-4257.43		715.967		1.39064e-312
		50		0.498883		4.9184		3688.8		-2972.89		715.909		0.113705
		100		0.997765		2.99009		2242.57		-1526.58		715.993		0.312553
		150		1.49665		3.39724		2547.93		-1831.97		715.965		0.456294
		200		1.99553		3.29852		2473.89		-1757.93		715.966		0.579575
		250		2.49441		3.23572		2426.79		-1710.82		715.972		0.683601
		300		2.9933		3.45591		2591.93		-1875.98		715.953		0.76811
		350		3.49218		3.31638		2487.28		-1771.3		715.98		0.847165
		400		3.99106		3.408		2556		-1840.04		715.961		0.915425
		450		4.48994		3.24481		2433.6		-1717.62		715.984		0.978313
		500		4.98883		3.36722		2525.41		-1809.45		715.969		1.03274
		550		5.48771		3.36431		2523.23		-1807.26		715.973		1.0886
		600		5.98659		3.28644		2464.83		-1748.85		715.978		1.14766
		650		6.48547		3.38474		2538.56		-1822.59		715.962		1.20336
		700		6.98436		3.30107		2475.8		-1759.83		715.97		1.2639
		750		7.48324		3.21104		2408.28		-1692.3		715.975		1.32728
		800		7.98212		3.16843		2376.32		-1660.35		715.972		1.38889
		850		8.48101		3.16921		2376.91		-1660.93		715.973		1.4492
		900		8.97989		3.23516		2426.37		-1710.39		715.975		1.51143
		950		9.47877		3.27734		2458.01		-1742.03		715.982		1.58162
		1000		9.97765		3.36887		2526.65		-1810.69		715.958		1.65916
		1050		10.4765		3.11238		2334.29		-1618.3		715.983		1.74256
		1100		10.9754		3.07815		2308.61		-1592.64		715.971		1.81523
		1150		11.4743		3.12385		2342.89		-1626.92		715.974		1.87723
		1200		11.9732		3.33617		2502.13		-1786.16		715.968		1.93011
		1250		12.4721		3.22662		2419.97		-1703.99		715.972		2.00302
		1300		12.9709		3.18259		2386.95		-1670.97		715.972		2.08424
		1350		13.4698		3.19263		2394.47		-1678.51		715.969		2.15714
		1400		13.9687		3.07949		2309.61		-1593.64		715.978		2.22593
		1450		14.4676		3.16578		2374.33		-1658.37		715.962		2.2971
		1500		14.9665		3.07028		2302.71		-1586.73		715.981		2.37671
		1550		15.4654		3.10828		2331.21		-1615.24		715.968		2.4587
		1600		15.9642		3.14626		2359.69		-1643.72		715.976		2.53736
		1650		16.4631		3.27206		2454.05		-1738.08		715.97		2.61621
		1700		16.962		3.11603		2337.02		-1621.04		715.979		2.70878
		1750		17.4609		3.06904		2301.78		-1585.81		715.977		2.7961
		1800		17.9598		3.13441		2350.81		-1634.84		715.972		2.87648
		1850		18.4587		3.13758		2353.18		-1637.2		715.981		2.96094
		1900		18.9575		3.18524		2388.93		-1672.96		715.977		3.05941
		1950		19.4564		3.13405		2350.54		-1634.56		715.976		3.17013
		2000		19.9553		3.10953		2332.15		-1616.18		715.97		3.27983
		2050		20.4542		3.03394		2275.45		-1559.48		715.97		3.37375
		2100		20.9531		3.01462		2260.96		-1545		715.966		3.44784
		2150		21.452		3.07613		2307.1		-1591.13		715.97		3.50731
		2200		21.9508		2.99769		2248.27		-1532.28		715.982		3.56952
		2250		22.4497		3.11475		2336.06		-1620.09		715.97		3.647
		2300		22.9486		3.17783		2383.37		-1667.39		715.975		3.74779
