		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		629.454		40.6816		-43.9281		-3.24651		0.00743876
		60		6e-14		412.002		26.6277		-29.8743		-3.24662		0.125217
		120		1.2e-13		258.781		16.725		-19.9715		-3.24649		0.306021
		180		1.8e-13		317.166		20.4984		-23.745		-3.24656		0.403839
		240		2.4e-13		309.235		19.9859		-23.2323		-3.24642		0.477899
		300		3e-13		310.611		20.0748		-23.3212		-3.24644		0.532776
		360		3.6e-13		316.365		20.4467		-23.6931		-3.24646		0.572933
		420		4.2e-13		309.707		20.0164		-23.2628		-3.2464		0.606761
		480		4.8e-13		335.021		21.6524		-24.8989		-3.24652		0.628021
		540		5.4e-13		316.554		20.4589		-23.7053		-3.24642		0.653587
		600		6e-13		309.049		19.9738		-23.2202		-3.24644		0.672135
		660		6.6e-13		322.281		20.829		-24.0754		-3.24646		0.676158
		720		7.2e-13		315.138		20.3673		-23.6137		-3.24638		0.675889
		780		7.8e-13		327.217		21.148		-24.3945		-3.24647		0.669198
		840		8.4e-13		326.923		21.1291		-24.3755		-3.24642		0.665609
		900		9e-13		332.783		21.5078		-24.7542		-3.24644		0.662782
		960		9.6e-13		323.371		20.8995		-24.1459		-3.24641		0.666692
		1020		1.02e-12		321.268		20.7635		-24.01		-3.24645		0.672174
		1080		1.08e-12		326.705		21.115		-24.3614		-3.24647		0.673606
		1140		1.14e-12		329.865		21.3192		-24.5656		-3.24646		0.674466
		1200		1.2e-12		321.849		20.8011		-24.0475		-3.2464		0.675641
		1260		1.26e-12		319.392		20.6423		-23.8887		-3.24642		0.674227
		1320		1.32e-12		317.139		20.4967		-23.7431		-3.24639		0.666967
		1380		1.38e-12		320.574		20.7187		-23.9651		-3.24643		0.65309
		1440		1.44e-12		332.229		21.4719		-24.7184		-3.24649		0.636647
		1500		1.5e-12		327.191		21.1464		-24.3928		-3.24641		0.626935
		1560		1.56e-12		324.395		20.9656		-24.2121		-3.24647		0.623647
		1620		1.62e-12		327.135		21.1428		-24.3892		-3.24642		0.618716
		1680		1.68e-12		321.296		20.7653		-24.0117		-3.2464		0.615026
		1740		1.74e-12		317.098		20.494		-23.7404		-3.24637		0.608646
		1800		1.8e-12		325.384		21.0296		-24.276		-3.2464		0.594329
		1860		1.86e-12		341.803		22.0907		-25.3372		-3.24646		0.578337
		1920		1.92e-12		333.797		21.5733		-24.8197		-3.24642		0.572362
		1980		1.98e-12		335.801		21.7028		-24.9493		-3.24645		0.570134
		2040		2.04e-12		328.996		21.263		-24.5094		-3.24638		0.572003
		2100		2.1e-12		324.008		20.9406		-24.187		-3.24641		0.571791
		2160		2.16e-12		325.612		21.0443		-24.2908		-3.24642		0.563251
		2220		2.22e-12		341.547		22.0742		-25.3207		-3.24651		0.548358
		2280		2.28e-12		331		21.3925		-24.6389		-3.24643		0.538333
		2340		2.34e-12		333.433		21.5498		-24.7962		-3.24646		0.525444
		2400		2.4e-12		342.588		22.1415		-25.388		-3.24651		0.511379
