		timesteps		t		Temperature		Kin		Pot		TotalE		MSD
		0		0		621.738		40.1829		-43.9281		-3.74524		0.00743876
		60		6e-14		405.942		26.236		-29.9812		-3.74515		0.123195
		120		1.2e-13		271.761		17.5639		-21.3091		-3.74521		0.305889
		180		1.8e-13		295.934		19.1262		-22.8714		-3.74519		0.422185
		240		2.4e-13		295.026		19.0675		-22.8127		-3.74518		0.502359
		300		3e-13		296.301		19.1499		-22.8951		-3.74515		0.552299
		360		3.6e-13		296.502		19.1629		-22.9081		-3.74517		0.579034
		420		4.2e-13		309.977		20.0338		-23.779		-3.74517		0.580554
		480		4.8e-13		338.081		21.8502		-25.5954		-3.74524		0.568402
		540		5.4e-13		333.265		21.5389		-25.2841		-3.74518		0.567779
		600		6e-13		318.178		20.5638		-24.3089		-3.74508		0.576045
		660		6.6e-13		326.905		21.1278		-24.873		-3.74519		0.582003
		720		7.2e-13		317.163		20.4982		-24.2434		-3.74516		0.59192
		780		7.8e-13		316.172		20.4342		-24.1794		-3.74519		0.596068
		840		8.4e-13		327.5		21.1663		-24.9115		-3.74518		0.589298
		900		9e-13		323.812		20.928		-24.6731		-3.74512		0.585241
		960		9.6e-13		322.4		20.8367		-24.5818		-3.74514		0.585632
		1020		1.02e-12		328.01		21.1993		-24.9445		-3.74519		0.588108
		1080		1.08e-12		319.654		20.6592		-24.4043		-3.7451		0.595213
		1140		1.14e-12		326.637		21.1105		-24.8557		-3.7452		0.604005
		1200		1.2e-12		310.803		20.0872		-23.8324		-3.74516		0.616251
		1260		1.26e-12		311.317		20.1204		-23.8656		-3.74519		0.618295
		1320		1.32e-12		314.776		20.3439		-24.0891		-3.74516		0.610074
		1380		1.38e-12		327.246		21.1499		-24.8951		-3.74516		0.596343
		1440		1.44e-12		323.043		20.8783		-24.6234		-3.74511		0.589421
		1500		1.5e-12		328.934		21.259		-25.0042		-3.7452		0.589198
		1560		1.56e-12		323.829		20.9291		-24.6742		-3.74512		0.59679
		1620		1.62e-12		312.638		20.2058		-23.9509		-3.74513		0.60697
		1680		1.68e-12		304.587		19.6854		-23.4306		-3.74519		0.610706
		1740		1.74e-12		316.694		20.4679		-24.2131		-3.7452		0.599732
		1800		1.8e-12		331.779		21.4429		-25.188		-3.74518		0.583802
		1860		1.86e-12		332.796		21.5086		-25.2537		-3.74515		0.578388
		1920		1.92e-12		321.27		20.7637		-24.5088		-3.74514		0.583962
		1980		1.98e-12		320.543		20.7167		-24.4619		-3.74517		0.587341
		2040		2.04e-12		328.531		21.2329		-24.9781		-3.74513		0.585841
		2100		2.1e-12		350.095		22.6267		-26.3719		-3.74527		0.589177
		2160		2.16e-12		322.379		20.8354		-24.5804		-3.74504		0.610575
		2220		2.22e-12		326.149		21.079		-24.8242		-3.74516		0.632061
		2280		2.28e-12		320.582		20.7192		-24.4643		-3.74513		0.654356
		2340		2.34e-12		321.068		20.7506		-24.4958		-3.74516		0.67566
		2400		2.4e-12		320.506		20.7143		-24.4595		-3.74524		0.697753
